date,TUSD0000
2023-01-01,4666.355576294914
2023-02-01,4757.373929590866
2023-03-01,4644.681839294009
2023-04-01,4697.040864255519
2023-05-01,4438.526409232135
2023-06-01,4184.100418410042
2023-07-01,3924.646781789639
2023-08-01,4096.681687832856
2023-09-01,4078.3034257748777
2023-10-01,4070.00407000407
2023-11-01,3992.015968063872
2023-12-01,3875.9689922480634
2024-01-01,3916.960438699569
2024-02-01,3926.1876717707114
2024-03-01,3859.51370127364
2024-04-01,3923.107100823852
2024-05-01,3868.471953578337
2024-06-01,4149.377593360996
2024-07-01,4065.040650406504
2024-08-01,4178.8549937317175
2024-09-01,4205.214465937763
2024-10-01,4426.737494466578
2024-11-01,4434.589800443458
2024-12-01,4407.227853680035
2025-01-01,4208.754208754209


 Definition: Cotización del USD en Colombia. Source: BCE
